a	0000	71	4	9	16	11	21	21	27	24	0.3380281690140845	14	14	0.19718309859154928	0
a	0001	56	2	9	15	7	17	16	24	19	0.3392857142857143	9	11	0.19642857142857142	0
a	0002	32	4	0	5	6	10	7	11	7	0.21875	8	9	0.28125	0
a	0003	39	1	2	9	8	10	12	13	8	0.20512820512820512	8	7	0.1794871794871795	0
a	0004	37	0	3	9	6	9	10	14	10	0.2702702702702703	7	6	0.16216216216216217	0
a	0005	43	1	5	9	8	10	14	8	6	0.13953488372093023	13	12	0.27906976744186046	0
a	0006	45	2	8	11	7	14	17	16	12	0.26666666666666666	10	9	0.2	0
a	0007	54	6	4	9	10	15	15	19	19	0.35185185185185186	13	12	0.2222222222222222	0
a	0008	51	1	12	12	4	13	16	26	14	0.27450980392156865	13	14	0.27450980392156865	0
a	0009	44	5	8	8	4	15	12	22	16	0.36363636363636365	10	9	0.20454545454545456	0
a	0010	66	4	3	13	11	17	17	26	20	0.30303030303030304	12	11	0.16666666666666666	0
a	0011	54	6	6	10	8	18	15	22	20	0.37037037037037035	15	12	0.2222222222222222	0
a	0012	43	8	4	7	8	15	12	19	18	0.4186046511627907	8	7	0.16279069767441862	0
a	0013	52	6	7	12	8	19	16	23	21	0.40384615384615385	5	4	0.07692307692307693	0
a	0014	53	6	2	7	11	16	13	20	13	0.24528301886792453	11	10	0.18867924528301888	0
a	0015	72	0	4	18	16	18	20	31	28	0.3888888888888889	10	12	0.16666666666666666	0
a	0016	57	8	5	8	8	16	14	22	21	0.3684210526315789	13	12	0.21052631578947367	0
a	0017	52	5	3	9	9	14	12	22	15	0.28846153846153844	10	11	0.21153846153846154	0
a	0018	40	12	7	4	3	16	14	18	16	0.4	10	10	0.25	0
a	0019	55	3	9	12	7	15	19	20	15	0.2727272727272727	12	12	0.21818181818181817	0
a	0020	113	0	1	17	17	17	19	103	20	0.17699115044247787	11	10	0.08849557522123894	0
a	0021	51	3	4	11	7	14	14	21	17	0.3333333333333333	9	11	0.21568627450980393	0
a	0022	62	5	9	11	7	16	19	17	16	0.25806451612903225	19	18	0.2903225806451613	0
a	0023	50	11	8	6	5	17	14	23	23	0.46	13	12	0.24	0
a	0024	34	5	4	6	4	11	10	14	13	0.38235294117647056	8	7	0.20588235294117646	0
a	0025	42	3	6	9	5	15	11	20	15	0.35714285714285715	7	8	0.19047619047619047	0
a	0026	62	1	5	12	11	14	17	23	12	0.1935483870967742	14	12	0.1935483870967742	0
a	0027	50	3	6	11	7	14	16	20	11	0.22	7	9	0.18	0
a	0028	29	2	7	6	3	9	13	6	6	0.20689655172413793	9	7	0.2413793103448276	0
a	0029	48	0	4	12	7	13	11	27	15	0.3125	9	10	0.20833333333333334	0
a	0030	41	3	5	9	5	12	11	22	9	0.21951219512195122	7	8	0.1951219512195122	0
